Year,Month,BAJFINANCE.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,SBIN.NS,TATAMOTORS.NS,TCS.NS,RELIANCE.NS_Return,TCS.NS_Return,HDFCBANK.NS_Return,INFY.NS_Return,ICICIBANK.NS_Return,BAJFINANCE.NS_Return,HINDUNILVR.NS_Return,ITC.NS_Return,TATAMOTORS.NS_Return,SBIN.NS_Return
2016,January,577.3712158203125,489.2278137207031,713.1351318359375,193.70187377929688,459.24224853515625,162.61106872558594,219.29808044433594,165.6366729736328,334.6844787597656,1003.7509155273438,0.02050066163921227,-0.01631919878858379,-0.02984792454184404,0.053826825323272764,-0.11938014976116085,-0.013568934322011561,-0.05314362395396288,-0.02318497742813974,-0.1390237260022279,-0.1984852006658342
2016,February,577.7265625,452.87994384765625,724.9202880859375,159.952392578125,427.3684387207031,150.14356994628906,204.73678588867188,146.16354370117188,297.7291564941406,913.7142333984375,-0.06639955318423374,-0.08970022416527845,-0.07429640926711012,-0.06940522113573155,-0.17423414932798165,0.0006154561743827447,0.01652583882616976,-0.07667066502303344,-0.11041839287728461,-0.11756532489372573
2016,March,676.2280883789062,499.153564453125,759.0536499023438,199.17250061035156,480.2941589355469,166.69920349121094,226.41546630859375,178.8489227294922,384.0576171875,1057.8988037109375,0.10588561467263591,0.1578005081262932,0.1021763521085286,0.12384096582628579,0.24519863316874368,0.17049852347563865,0.04708567600795277,0.1102653516953429,0.28995635398932906,0.2236219661938743
2016,April,666.9452514648438,527.6726684570312,757.656982421875,199.42498779296875,476.2729797363281,165.02333068847656,212.87644958496094,174.01516723632812,405.66461181640625,1064.279296875,-0.059797225624064754,0.006031288760022013,0.0571349300793873,-0.008372325843251316,0.0012676809391027888,-0.013727375531406683,-0.0018400115468102385,-0.010053274206692553,0.05625977369525148,-0.02702703163873732
2016,May,741.1392822265625,550.7628173828125,740.4593505859375,205.9055633544922,492.25927734375,181.56263732910156,207.4933319091797,188.70059204101562,456.6272277832031,1078.5087890625,-0.02528752093656461,0.013370073278021533,0.04375847055580717,0.03356540951844922,0.03249630667271841,0.11124455957781065,-0.02269844036936708,0.10022405057286798,0.12562746289011106,0.08439163687808526
2016,June,780.9757080078125,552.7227783203125,793.0711669921875,206.62147521972656,466.94256591796875,190.5360107421875,209.94117736816406,204.0985107421875,456.2298889160156,1082.7843017578125,0.011797224693735231,0.003964281736664299,0.003558629732510976,-0.05142962782213312,0.003476894230399319,0.053750255500655264,0.0710529435067806,0.0494230175607151,-0.0008701602598610858,0.08159973710005652
2016,July,1013.8439331054688,585.4928588867188,814.2537841796875,225.81910705566406,428.2765808105469,195.8502197265625,219.8517303466797,213.9862518310547,500.09332275390625,1113.738525390625,0.047206332281998886,0.028587617665458254,0.059288456802870204,-0.0828067259865416,0.09291208387473882,0.29817601586056863,0.02670960447072801,0.027890837871931806,0.0961432709770691,0.048445924729735745
2016,August,1076.2471923828125,606.6348266601562,809.3995361328125,221.6102294921875,413.1213073730469,201.74630737304688,229.62149047851562,235.53414916992188,534.3803100585938,1067.81689453125,0.04443794968741077,-0.04123196765889803,0.036109693658156194,-0.035386649927991565,-0.018638270332187123,0.06155114928409011,-0.0059615910189049215,0.03010508568597081,0.06856117797349581,0.10069757825320269
2016,September,1032.0579833984375,598.013671875,765.9749755859375,216.58534240722656,413.2010192871094,187.23887634277344,234.75547790527344,234.36813354492188,531.5478515625,1033.5877685546875,0.022358479670430365,-0.03205523920052644,-0.01421144056733481,0.00019295038198197112,-0.022674436538761333,-0.04105860558533958,-0.053650340293436405,-0.07190927665133373,-0.005300454456832804,-0.004950516216477796
2016,October,1048.3321533203125,591.5300903320312,738.3050537109375,237.80149841308594,402.0929870605469,188.59652709960938,228.52755737304688,240.66461181640625,533.6846313476562,1022.6755981445312,-0.02652939385184272,-0.01055756534872232,-0.01084186172974988,-0.026882877118084236,0.09795748765846057,0.015768658528551027,-0.036123793540165816,0.007250902074153132,0.004019919897851443,0.02686576104117644
2016,November,899.03125,563.5990600585938,751.2109375,228.09532165527344,393.2449035644531,180.37307739257812,214.4686279296875,240.99107360839844,456.4643249511719,970.3843994140625,-0.0615196241756073,-0.0511317555883235,-0.047218274657438886,-0.022005067934103062,-0.040816297721353534,-0.14241755616046092,0.017480421844864535,-0.04360339945543079,-0.1446927677146862,0.0013565010224321217
2016,December,823.183349609375,566.699951171875,735.5013427734375,219.29103088378906,407.3736267089844,187.47161865234375,234.47384643554688,233.38868713378906,469.0859069824219,1008.5418701171875,0.09327806448418174,0.039322015817819356,0.005501945146890286,0.035928560081683436,-0.03859917295800808,-0.08436625577878964,-0.02091236155166143,0.039354771578886005,0.02765075240567838,-0.031546340537753625
2017,January,1013.4871826171875,604.4971313476562,761.3577270507812,231.01577758789062,374.31939697265625,200.23350524902344,226.41546630859375,242.85670471191406,520.3176879882812,953.3775024414062,-0.034367927380626884,-0.05469715171009348,0.06669698858738338,-0.08113983716462103,0.05346660397759262,0.23118037202540287,0.03515477508150311,0.06807369930669838,0.10921620164508417,0.04056759431830348
